algorithm_name,env_n,seed,manhattan,monotone_rd,states_n,actions_count,actions_cost,time,solution_found
Random,1,1,53,False,-1,-1,-1,0.0007035140006337315,False
BFS,1,1,53,False,3523,53,188,0.006708169999910751,True
DFS,1,1,53,False,-1,-1,-1,0.012377535998894018,False
DLS50,1,1,53,False,-1,-1,-1,0.0522976819993346,False
DLS75,1,1,53,False,48917,75,372,0.07074843599912128,True
DLS100,1,1,53,False,61377,99,594,0.08711845299876586,True
UCS,1,1,53,False,3553,53,188,0.008991517001049942,True
A*,1,1,53,False,545,53,188,0.0030931769997550873,True
Random,2,2,75,False,-1,-1,-1,0.0005064569995738566,False
BFS,2,2,75,False,5495,75,363,0.02033466000102635,True
DFS,2,2,75,False,-1,-1,-1,0.016394004998801393,False
DLS50,2,2,75,False,-1,-1,-1,0.04349821100004192,False
DLS75,2,2,75,False,81760,75,363,0.1153001740003674,True
DLS100,2,2,75,False,124094,99,603,0.17493826099962462,True
UCS,2,2,75,False,5562,75,363,0.013390000000072177,True
A*,2,2,75,False,1194,75,363,0.004680554000515258,True
Random,3,3,107,False,-1,-1,-1,0.00040788699880067725,False
BFS,3,3,107,False,7994,107,836,0.026408378000269295,True
DFS,3,3,107,False,9035,131,1022,0.014012912999533,True
DLS50,3,3,107,False,-1,-1,-1,0.040752390001216554,False
DLS75,3,3,107,False,-1,-1,-1,0.11068949599939515,False
DLS100,3,3,107,False,-1,-1,-1,0.2232471949992032,False
UCS,3,3,107,False,7961,107,836,0.018127156999980798,True
A*,3,3,107,False,1698,107,836,0.006061426000087522,True
Random,4,4,114,False,-1,-1,-1,0.0012800300009985222,False
BFS,4,4,114,False,8672,114,663,0.02746962200035341,True
DFS,4,4,114,False,-1,-1,-1,0.014064467999560293,False
DLS50,4,4,114,False,-1,-1,-1,0.04404081700158713,False
DLS75,4,4,114,False,-1,-1,-1,0.12129120300051,False
DLS100,4,4,114,False,-1,-1,-1,0.2464059300000372,False
UCS,4,4,114,False,8708,114,663,0.019486033999783103,True
A*,4,4,114,False,2878,114,663,0.008841270000630175,True
Random,5,5,79,False,-1,-1,-1,0.00048207200052274857,False
BFS,5,5,79,False,5721,81,189,0.010001307000493398,True
