algorithm_name,env_n,size,best_solution,H,states,time
random,0,4,"[2, 0, 3, 1]",0,59,0.0001454760058550164
HC,0,4,"[2, 0, 1, 3]",1,28,3.505899803712964e-05
SA,0,4,"[1, 3, 0, 2]",0,52,0.0001029170016408898
GA,0,4,"[1, 3, 0, 2]",0,101,0.00019287499890197068
random,1,4,"[1, 3, 0, 2]",0,568,0.0013713780062971637
HC,1,4,"[1, 3, 0, 2]",0,28,2.965999738080427e-05
SA,1,4,"[1, 3, 0, 2]",0,10,2.0699000742752105e-05
GA,1,4,"[1, 3, 0, 2]",0,101,0.00022875500144436955
random,2,4,"[1, 3, 0, 2]",0,150,0.000369020999642089
HC,2,4,"[2, 1, 3, 0]",1,28,2.9169998015277088e-05
SA,2,4,"[1, 3, 0, 2]",0,49,8.334800077136606e-05
GA,2,4,"[2, 0, 3, 1]",0,101,0.00018617599562276155
random,3,4,"[1, 3, 0, 2]",0,110,0.00026645300386007875
HC,3,4,"[0, 3, 1, 2]",1,42,4.2279003537259996e-05
SA,3,4,"[1, 3, 0, 2]",0,206,0.00033556200651219115
GA,3,4,"[1, 3, 0, 2]",0,101,0.00017753600695868954
random,4,4,"[1, 3, 0, 2]",0,53,0.00012940700253238901
HC,4,4,"[2, 0, 3, 1]",0,42,4.279900167603046e-05
SA,4,4,"[1, 3, 0, 2]",0,69,0.00011697699665091932
GA,4,4,"[1, 3, 0, 2]",0,101,0.00018421500135445967
random,5,4,"[2, 0, 3, 1]",0,112,0.0002705529986997135
HC,5,4,"[2, 0, 3, 1]",0,42,4.194900247966871e-05
SA,5,4,"[1, 3, 0, 2]",0,80,0.0001331370003754273
GA,5,4,"[2, 0, 3, 1]",0,101,0.00017755600129021332
random,6,4,"[2, 0, 3, 1]",0,19,4.8369001888204366e-05
HC,6,4,"[0, 3, 1, 2]",1,42,4.1649000195320696e-05
SA,6,4,"[1, 3, 0, 2]",0,78,0.00013340700388653204
GA,6,4,"[1, 3, 0, 2]",0,101,0.00017502600530860946
random,7,4,"[1, 3, 0, 2]",0,114,0.0002783230011118576
HC,7,4,"[0, 3, 1, 2]",1,28,2.8359005227684975e-05
SA,7,4,"[1, 3, 0, 2]",0,37,6.269900040933862e-05
GA,7,4,"[1, 3, 0, 2]",0,101,0.0001734160032356158
random,8,4,"[1, 3, 0, 2]",0,435,0.0010488549960427918
HC,8,4,"[3, 1, 0, 2]",1,28,2.880999818444252e-05
SA,8,4,"[1, 3, 0, 2]",0,69,0.00011183699825778604
GA,8,4,"[2, 0, 3, 1]",0,101,0.00017491600010544062
random,9,4,"[1, 3, 0, 2]",0,64,0.0001572559995111078
HC,9,4,"[2, 0, 1, 3]",1,28,2.8529000701382756e-05
SA,9,4,"[1, 3, 0, 2]",0,23,4.078900383319706e-05
GA,9,4,"[1, 3, 0, 2]",0,101,0.0001752559983287938
random,10,4,"[2, 0, 3, 1]",0,238,0.0005762170039815828
HC,10,4,"[1, 3, 0, 2]",0,28,2.9479000659193844e-05
SA,10,4,"[1, 3, 0, 2]",0,31,5.367799894884229e-05
GA,10,4,"[2, 0, 3, 1]",0,101,0.00022790399816585705
random,11,4,"[2, 0, 3, 1]",0,110,0.00026782300119521096
HC,11,4,"[1, 3, 2, 0]",1,42,4.375899879960343e-05
SA,11,4,"[1, 3, 0, 2]",0,187,0.0003010929940501228
GA,11,4,"[1, 3, 0, 2]",0,101,0.000176045999978669
random,12,4,"[2, 0, 3, 1]",0,49,0.00011915699724340811
HC,12,4,"[2, 0, 3, 1]",0,28,2.9158996767364442e-05
SA,12,4,"[2, 0, 3, 1]",0,79,0.00013052699796389788
GA,12,4,"[2, 0, 3, 1]",0,101,0.00017175600078189746
random,13,4,"[2, 0, 3, 1]",0,64,0.00015381699631689116
HC,13,4,"[3, 1, 0, 2]",1,42,4.16189941461198e-05
SA,13,4,"[1, 3, 0, 2]",0,104,0.00017584599845577031
GA,13,4,"[2, 0, 3, 1]",0,101,0.00017379600467393175
random,14,4,"[2, 0, 3, 1]",0,396,0.0009428169942111708
HC,14,4,"[0, 2, 3, 1]",1,14,1.5099998563528061e-05
SA,14,4,"[2, 0, 3, 1]",0,43,7.282799924723804e-05
GA,14,4,"[1, 3, 0, 2]",0,101,0.00017451500025345013
random,15,4,"[1, 3, 0, 2]",0,50,0.0001227570028277114
HC,15,4,"[3, 0, 2, 1]",1,28,2.8669994208030403e-05
SA,15,4,"[2, 0, 3, 1]",0,39,6.82179961586371e-05
GA,15,4,"[1, 3, 0, 2]",0,101,0.00017761599883669987
random,16,4,"[1, 3, 0, 2]",0,59,0.00014416599879041314
HC,16,4,"[1, 3, 0, 2]",0,28,2.890000178012997e-05
SA,16,4,"[2, 0, 3, 1]",0,9,1.795999560272321e-05
GA,16,4,"[1, 3, 0, 2]",0,101,0.00017614600074011832
random,17,4,"[2, 0, 3, 1]",0,107,0.00026467400311958045
HC,17,4,"[3, 1, 0, 2]",1,28,2.8150003345217556e-05
SA,17,4,"[2, 0, 3, 1]",0,61,0.00010109799768542871
GA,17,4,"[2, 0, 3, 1]",0,101,0.00017398600175511092
random,18,4,"[1, 3, 0, 2]",0,78,0.00018853599613066763
HC,18,4,"[0, 2, 3, 1]",1,42,4.1638995753601193e-05
SA,18,4,"[2, 0, 3, 1]",0,6,1.2229997082613409e-05
GA,18,4,"[2, 0, 3, 1]",0,101,0.00017653599934419617
random,19,4,"[2, 0, 3, 1]",0,26,6.362899875966832e-05
HC,19,4,"[2, 0, 1, 3]",1,42,4.2069004848599434e-05
SA,19,4,"[2, 0, 3, 1]",0,88,0.0001468760019633919
GA,19,4,"[1, 3, 0, 2]",0,101,0.0001748549984768033
random,20,4,"[1, 3, 0, 2]",0,324,0.0007814820055500604
HC,20,4,"[2, 0, 3, 1]",0,28,2.98590020975098e-05
SA,20,4,"[2, 0, 3, 1]",0,8,1.6518999473191798e-05
GA,20,4,"[1, 3, 0, 2]",0,101,0.00017628599744057283
random,21,4,"[1, 3, 0, 2]",0,20,4.946900298818946e-05
HC,21,4,"[1, 3, 0, 2]",0,28,3.068899968639016e-05
SA,21,4,"[1, 3, 0, 2]",0,61,0.00010168800508836284
GA,21,4,"[1, 3, 0, 2]",0,101,0.00017467600264353678
random,22,4,"[1, 3, 0, 2]",0,55,0.00013506699906429276
HC,22,4,"[2, 0, 3, 1]",0,14,1.5040001017041504e-05
SA,22,4,"[1, 3, 0, 2]",0,55,9.268800204154104e-05
GA,22,4,"[1, 3, 0, 2]",0,101,0.00017737600137479603
random,23,4,"[1, 3, 0, 2]",0,198,0.0004784280026797205
HC,23,4,"[2, 1, 3, 0]",1,42,4.239899863023311e-05
SA,23,4,"[1, 3, 0, 2]",0,60,9.767799929250032e-05
GA,23,4,"[2, 0, 3, 1]",0,101,0.00018026600446319208
random,24,4,"[1, 3, 0, 2]",0,428,0.0010268159967381507
HC,24,4,"[2, 0, 3, 1]",0,28,2.900900290114805e-05
SA,24,4,"[1, 3, 0, 2]",0,5,1.0579002264421433e-05
GA,24,4,"[2, 0, 3, 1]",0,101,0.0001882050055428408
random,25,4,"[1, 3, 0, 2]",0,71,0.0001727859998936765
HC,25,4,"[0, 3, 1, 2]",1,42,4.245900345267728e-05
SA,25,4,"[2, 0, 3, 1]",0,11,2.222899638582021e-05
GA,25,4,"[1, 3, 0, 2]",0,101,0.00017860499792732298
random,26,4,"[2, 0, 3, 1]",0,249,0.000598484999500215
HC,26,4,"[3, 0, 2, 1]",1,42,4.1669001802802086e-05
SA,26,4,"[1, 3, 0, 2]",0,66,0.00010797799768624827
GA,26,4,"[1, 3, 0, 2]",0,101,0.00018007499602390453
random,27,4,"[1, 3, 0, 2]",0,6,1.548000000184402e-05
HC,27,4,"[3, 0, 2, 1]",1,42,4.181899566901848e-05
SA,27,4,"[2, 0, 3, 1]",0,35,5.93290023971349e-05
GA,27,4,"[1, 3, 0, 2]",0,101,0.00017529599426779896
random,28,4,"[2, 0, 3, 1]",0,265,0.0006464049947680905
HC,28,4,"[0, 3, 1, 2]",1,28,2.9189002816565335e-05
SA,28,4,"[1, 3, 0, 2]",0,82,0.0001386560034006834
GA,28,4,"[1, 3, 0, 2]",0,101,0.00017316600133199245
random,29,4,"[2, 0, 3, 1]",0,301,0.0007277430049725808
HC,29,4,"[0, 3, 1, 2]",1,42,4.261899448465556e-05
SA,29,4,"[2, 0, 3, 1]",0,70,0.00011751800047932193
GA,29,4,"[2, 0, 3, 1]",0,101,0.00017610599752515554
random,0,8,"[2, 0, 5, 7, 5, 1, 6, 4]",1,50001,0.26198566300445236
HC,0,8,"[6, 3, 0, 4, 7, 5, 2, 1]",1,232,0.0005762970031355508
SA,0,8,"[2, 0, 5, 7, 1, 3, 6, 4]",1,446,0.001405227005307097
GA,0,8,"[3, 6, 0, 7, 4, 1, 5, 2]",0,395,0.0017838179992395453
random,1,8,"[2, 5, 1, 6, 4, 0, 7, 3]",0,13803,0.07170228800532641
HC,1,8,"[2, 7, 5, 1, 1, 4, 6, 3]",1,290,0.000706973994965665
SA,1,8,"[5, 2, 6, 3, 1, 7, 4, 0]",1,446,0.0014021469978615642
GA,1,8,"[3, 0, 4, 7, 5, 2, 6, 1]",0,199,0.0008487399973091669
random,2,8,"[4, 6, 0, 2, 7, 5, 3, 1]",0,2707,0.01430275000166148
HC,2,8,"[4, 2, 0, 6, 6, 1, 5, 7]",1,290,0.0007237729951157235
SA,2,8,"[4, 2, 0, 5, 7, 1, 3, 6]",0,412,0.001314479006396141
GA,2,8,"[1, 6, 4, 7, 0, 3, 5, 2]",0,395,0.001713868994556833
random,3,8,"[2, 7, 3, 6, 0, 5, 1, 4]",0,22035,0.1154482400015695
HC,3,8,"[2, 4, 1, 3, 0, 2, 7, 5]",1,232,0.0005868459993507713
SA,3,8,"[7, 6, 2, 5, 1, 4, 0, 3]",1,446,0.0014114069999777712
GA,3,8,"[1, 4, 6, 3, 0, 7, 5, 2]",0,199,0.0008416700002271682
random,4,8,"[2, 6, 1, 7, 5, 3, 0, 4]",0,12275,0.06388755400257651
HC,4,8,"[6, 4, 7, 3, 0, 2, 5, 1]",1,232,0.0005866159990546294
SA,4,8,"[1, 4, 0, 5, 7, 2, 6, 3]",1,446,0.001422365996404551
GA,4,8,"[6, 2, 7, 1, 4, 0, 5, 3]",0,297,0.0014217659991118126
random,5,8,"[6, 3, 1, 7, 5, 0, 2, 7]",1,50001,0.2597326570030418
HC,5,8,"[5, 2, 0, 7, 4, 1, 3, 6]",0,232,0.0005802260056952946
SA,5,8,"[3, 6, 4, 2, 0, 5, 7, 1]",0,176,0.0005693169950973243
GA,5,8,"[6, 0, 2, 7, 5, 3, 1, 4]",0,395,0.0017401289951521903
random,6,8,"[1, 6, 2, 5, 7, 4, 0, 3]",0,33982,0.17676876499899663
HC,6,8,"[4, 6, 0, 2, 7, 5, 3, 1]",0,232,0.0005779260027338751
SA,6,8,"[6, 1, 5, 2, 0, 3, 7, 4]",0,330,0.001069973994162865
GA,6,8,"[4, 7, 3, 0, 2, 5, 1, 6]",0,199,0.0008622290042694658
random,7,8,"[6, 1, 3, 0, 7, 4, 2, 0]",1,50001,0.2576023569999961
HC,7,8,"[2, 7, 3, 0, 0, 4, 1, 5]",1,174,0.0004273999948054552
SA,7,8,"[4, 6, 1, 2, 5, 7, 0, 3]",1,446,0.0014202359961927868
GA,7,8,"[3, 1, 6, 2, 5, 7, 0, 4]",0,101,0.00038180100091267377
random,8,8,"[2, 2, 6, 1, 7, 4, 0, 3]",1,50001,0.262822023993067
HC,8,8,"[1, 4, 7, 3, 6, 2, 0, 5]",1,174,0.0004354289994807914
SA,8,8,"[5, 0, 2, 4, 7, 7, 3, 1]",1,446,0.001407035997544881
GA,8,8,"[7, 2, 0, 5, 1, 4, 6, 3]",0,199,0.0009215469981427304
random,9,8,"[2, 4, 6, 0, 3, 1, 7, 5]",0,20196,0.1055212169958395
HC,9,8,"[4, 1, 7, 2, 6, 3, 5, 0]",1,232,0.0005767859984189272
SA,9,8,"[5, 2, 6, 3, 0, 7, 1, 4]",0,394,0.0012470110013964586
GA,9,8,"[0, 6, 4, 7, 1, 3, 5, 2]",0,199,0.0008816589979687706
random,10,8,"[4, 0, 3, 6, 2, 5, 1, 7]",1,50001,0.25836330900347093
HC,10,8,"[6, 3, 1, 7, 5, 0, 2, 4]",0,232,0.0005692359991371632
SA,10,8,"[0, 5, 3, 1, 7, 4, 2, 0]",1,446,0.0014203669998096302
GA,10,8,"[2, 5, 7, 0, 3, 6, 4, 1]",0,297,0.001259461001609452
