algorithm_name,env_n,size,best_solution,H,states,time
GA,0,4,"[1, 3, 0, 2]",0,101,0.00018235600055049872
GA,1,4,"[1, 3, 0, 2]",0,101,0.00017519700031698449
GA,2,4,"[2, 0, 3, 1]",0,101,0.00015016699944681022
GA,3,4,"[1, 3, 0, 2]",0,101,0.00017151700012618676
GA,4,4,"[1, 3, 0, 2]",0,101,0.00013697699978365563
GA,5,4,"[2, 0, 3, 1]",0,101,0.0001359369998681359
GA,6,4,"[1, 3, 0, 2]",0,101,0.0001402770003551268
GA,7,4,"[1, 3, 0, 2]",0,101,0.000132997000036994
GA,8,4,"[2, 0, 3, 1]",0,101,0.00017148699953395408
GA,9,4,"[1, 3, 0, 2]",0,101,0.00016925699947023531
GA,10,4,"[2, 0, 3, 1]",0,101,0.00018055700002150843
GA,11,4,"[1, 3, 0, 2]",0,101,0.0001703469997664797
GA,12,4,"[2, 0, 3, 1]",0,101,0.00017159600065497216
GA,13,4,"[2, 0, 3, 1]",0,101,0.00016189699999813456
GA,14,4,"[1, 3, 0, 2]",0,101,0.00013304700041771866
GA,15,4,"[1, 3, 0, 2]",0,101,0.00014208700031304033
GA,16,4,"[1, 3, 0, 2]",0,101,0.00014725799974257825
GA,17,4,"[2, 0, 3, 1]",0,101,0.00017280700012634043
GA,18,4,"[2, 0, 3, 1]",0,101,0.00016435599991382333
GA,19,4,"[1, 3, 0, 2]",0,101,0.0001584370002092328
GA,20,4,"[1, 3, 0, 2]",0,101,0.00016836600025271764
GA,21,4,"[1, 3, 0, 2]",0,101,0.00017811599991546245
GA,22,4,"[1, 3, 0, 2]",0,101,0.00019462699947325746
GA,23,4,"[2, 0, 3, 1]",0,101,0.00013375799971981905
GA,24,4,"[2, 0, 3, 1]",0,101,0.000295954000648635
GA,25,4,"[1, 3, 0, 2]",0,101,0.0001298870001846808
GA,26,4,"[1, 3, 0, 2]",0,101,0.00017057599961844971
GA,27,4,"[1, 3, 0, 2]",0,101,0.0001768870006344514
GA,28,4,"[1, 3, 0, 2]",0,101,0.00013108699931763113
GA,29,4,"[2, 0, 3, 1]",0,101,0.00018677600019145757
HC,0,4,"[2, 0, 1, 3]",1,28,2.8999000278417952e-05
HC,1,4,"[1, 3, 0, 2]",0,28,3.416900017327862e-05
HC,2,4,"[2, 1, 3, 0]",1,28,3.718900006788317e-05
HC,3,4,"[0, 3, 1, 2]",1,42,3.592899975046748e-05
HC,4,4,"[2, 0, 3, 1]",0,42,4.9219000175071415e-05
HC,5,4,"[2, 0, 3, 1]",0,42,3.4529000004113186e-05
HC,6,4,"[0, 3, 1, 2]",1,42,3.912899956048932e-05
HC,7,4,"[0, 3, 1, 2]",1,28,2.719000076467637e-05
HC,8,4,"[3, 1, 0, 2]",1,28,3.2160000046133064e-05
HC,9,4,"[2, 0, 1, 3]",1,28,3.1998999475035816e-05
HC,10,4,"[1, 3, 0, 2]",0,28,2.3798999791324604e-05
HC,11,4,"[1, 3, 2, 0]",1,42,4.701899979409063e-05
HC,12,4,"[2, 0, 3, 1]",0,28,3.066000044782413e-05
HC,13,4,"[3, 1, 0, 2]",1,42,4.4858999899588525e-05
HC,14,4,"[0, 2, 3, 1]",1,14,1.497999983257614e-05
HC,15,4,"[3, 0, 2, 1]",1,28,2.5379000362590887e-05
HC,16,4,"[1, 3, 0, 2]",0,28,2.437900002405513e-05
HC,17,4,"[3, 1, 0, 2]",1,28,2.7529000362847e-05
HC,18,4,"[0, 2, 3, 1]",1,42,4.416899992065737e-05
HC,19,4,"[2, 0, 1, 3]",1,42,4.478899973037187e-05
HC,20,4,"[2, 0, 3, 1]",0,28,3.4128999686799943e-05
HC,21,4,"[1, 3, 0, 2]",0,28,2.9629999517055694e-05
HC,22,4,"[2, 0, 3, 1]",0,14,2.487900019332301e-05
HC,23,4,"[2, 1, 3, 0]",1,42,4.7929000174917746e-05
HC,24,4,"[2, 0, 3, 1]",0,28,2.4298999960592482e-05
HC,25,4,"[0, 3, 1, 2]",1,42,3.556000046955887e-05
HC,26,4,"[3, 0, 2, 1]",1,42,3.738899977179244e-05
HC,27,4,"[3, 0, 2, 1]",1,42,4.173900015302934e-05
HC,28,4,"[0, 3, 1, 2]",1,28,2.414900063740788e-05
HC,29,4,"[0, 3, 1, 2]",1,42,3.904900040652137e-05
SA,0,4,"[1, 3, 0, 2]",0,52,8.814800003165146e-05
SA,1,4,"[1, 3, 0, 2]",0,10,3.074899996136082e-05
SA,2,4,"[1, 3, 0, 2]",0,49,9.240800045517972e-05
SA,3,4,"[1, 3, 0, 2]",0,206,0.00031228399984684074
SA,4,4,"[1, 3, 0, 2]",0,69,0.000135247999423882
SA,5,4,"[1, 3, 0, 2]",0,80,0.00012219699965498876
SA,6,4,"[1, 3, 0, 2]",0,78,0.00012834799963457044
SA,7,4,"[1, 3, 0, 2]",0,37,5.69989997529774e-05
SA,8,4,"[1, 3, 0, 2]",0,69,0.00010792800003400771
SA,9,4,"[1, 3, 0, 2]",0,23,5.176899958314607e-05
SA,10,4,"[1, 3, 0, 2]",0,31,6.42889999653562e-05
SA,11,4,"[1, 3, 0, 2]",0,187,0.0003006939996339497
SA,12,4,"[2, 0, 3, 1]",0,79,0.00014829700012342073
SA,13,4,"[1, 3, 0, 2]",0,104,0.00018010599978879327
SA,14,4,"[2, 0, 3, 1]",0,43,7.017799998720875e-05
SA,15,4,"[2, 0, 3, 1]",0,39,6.267800017667469e-05
SA,16,4,"[2, 0, 3, 1]",0,9,2.513900017220294e-05
SA,17,4,"[2, 0, 3, 1]",0,61,0.00010465799914527452
SA,18,4,"[2, 0, 3, 1]",0,6,1.3868999303667806e-05
SA,19,4,"[2, 0, 3, 1]",0,88,0.0001971360006791656
SA,20,4,"[2, 0, 3, 1]",0,8,2.1599999854515772e-05
SA,21,4,"[1, 3, 0, 2]",0,61,0.00013834700075676665
SA,22,4,"[1, 3, 0, 2]",0,55,0.00010031799956777832
SA,23,4,"[1, 3, 0, 2]",0,60,8.573899958719267e-05
SA,24,4,"[1, 3, 0, 2]",0,5,1.4389000170922372e-05
SA,25,4,"[2, 0, 3, 1]",0,11,1.845900078478735e-05
SA,26,4,"[1, 3, 0, 2]",0,66,0.00011183799961145269
SA,27,4,"[2, 0, 3, 1]",0,35,6.859800032543717e-05
SA,28,4,"[1, 3, 0, 2]",0,82,0.00012118699942220701
SA,29,4,"[2, 0, 3, 1]",0,70,0.0001251580006282893
random,0,4,"[2, 0, 3, 1]",0,59,0.00011879700014105765
random,1,4,"[1, 3, 0, 2]",0,568,0.00126117499985412
random,2,4,"[1, 3, 0, 2]",0,150,0.0003734720003194525
random,3,4,"[1, 3, 0, 2]",0,110,0.00020142599987593712
random,4,4,"[1, 3, 0, 2]",0,53,0.00012882700048066908
random,5,4,"[2, 0, 3, 1]",0,112,0.0002480650000507012
random,6,4,"[2, 0, 3, 1]",0,19,4.083899966644822e-05
random,7,4,"[1, 3, 0, 2]",0,114,0.00021175600068090716
random,8,4,"[1, 3, 0, 2]",0,435,0.0008356230000572396
random,9,4,"[1, 3, 0, 2]",0,64,0.0001616969993847306
random,10,4,"[2, 0, 3, 1]",0,238,0.0004762799999298295
random,11,4,"[2, 0, 3, 1]",0,110,0.0002481049996276852
random,12,4,"[2, 0, 3, 1]",0,49,0.00012999699993088143
random,13,4,"[2, 0, 3, 1]",0,64,0.00015738700039946707
random,14,4,"[2, 0, 3, 1]",0,396,0.0008261630000561127
random,15,4,"[1, 3, 0, 2]",0,50,0.00012509800035331864
random,16,4,"[1, 3, 0, 2]",0,59,0.00011082800028816564
random,17,4,"[2, 0, 3, 1]",0,107,0.0002494250002200715
random,18,4,"[1, 3, 0, 2]",0,78,0.00017540699991513975
random,19,4,"[2, 0, 3, 1]",0,26,6.50489992040093e-05
random,20,4,"[1, 3, 0, 2]",0,324,0.0008267729999715812
random,21,4,"[1, 3, 0, 2]",0,20,4.798999998456566e-05
random,22,4,"[1, 3, 0, 2]",0,55,0.0001464059996578726
random,23,4,"[1, 3, 0, 2]",0,198,0.00045361100001173327
random,24,4,"[1, 3, 0, 2]",0,428,0.0007931439995445544
random,25,4,"[1, 3, 0, 2]",0,71,0.00013000799935980467
random,26,4,"[2, 0, 3, 1]",0,249,0.0006554969995704596
random,27,4,"[1, 3, 0, 2]",0,6,1.7700000171316788e-05
random,28,4,"[2, 0, 3, 1]",0,265,0.0004891099997621495
random,29,4,"[2, 0, 3, 1]",0,301,0.000651477000246814
GA,0,8,"[2, 5, 3, 0, 4, 7, 1, 6]",1,395,0.0013763619999735965
GA,1,8,"[7, 2, 5, 1, 4, 0, 3, 6]",1,199,0.0006921760004843236
GA,2,8,"[7, 3, 2, 0, 5, 1, 4, 6]",1,395,0.0013573629994425573
GA,3,8,"[1, 4, 6, 3, 0, 2, 5, 7]",1,199,0.0009453610000491608
GA,4,8,"[2, 6, 7, 1, 4, 0, 5, 3]",1,297,0.0010752590005722595
GA,5,8,"[3, 6, 4, 7, 1, 0, 2, 5]",1,395,0.0013447030005409033
GA,6,8,"[4, 2, 5, 7, 1, 3, 0, 6]",1,199,0.000683885999933409
GA,7,8,"[3, 1, 6, 2, 5, 7, 0, 4]",0,101,0.0003140240005450323
GA,8,8,"[3, 7, 2, 0, 5, 1, 4, 6]",1,199,0.003862071999719774
GA,9,8,"[4, 7, 1, 6, 2, 0, 5, 3]",1,199,0.0006796170000598067
GA,10,8,"[4, 0, 3, 5, 7, 2, 6, 1]",1,297,0.0013902819991926663
GA,11,8,"[2, 7, 1, 6, 3, 5, 0, 4]",1,199,0.0007038060002741986
GA,12,8,"[0, 3, 5, 7, 1, 6, 4, 2]",1,493,0.0018073040000672336
GA,13,8,"[0, 3, 5, 2, 6, 1, 7, 4]",1,591,0.002791864000755595
GA,14,8,"[1, 3, 5, 7, 4, 2, 0, 6]",1,199,0.0008786429998508538
GA,15,8,"[7, 5, 3, 1, 6, 0, 2, 4]",1,297,0.000996290000330191
GA,16,8,"[0, 1, 5, 2, 6, 3, 7, 4]",1,297,0.001640086999941559
GA,17,8,"[6, 4, 1, 7, 0, 2, 3, 5]",1,591,0.0020464990002437844
GA,18,8,"[6, 2, 5, 1, 4, 7, 3, 0]",1,493,0.001861792000454443
GA,19,8,"[2, 0, 7, 3, 1, 6, 4, 5]",1,199,0.000688996999997471
GA,20,8,"[3, 6, 0, 5, 4, 1, 7, 2]",1,395,0.0015941279998514801
GA,21,8,"[6, 1, 5, 0, 2, 4, 7, 3]",1,297,0.0014205819998096558
GA,22,8,"[3, 1, 6, 4, 0, 7, 5, 2]",0,101,0.00032984300014504697
GA,23,8,"[2, 0, 6, 3, 5, 7, 1, 4]",1,199,0.0007116360002328292
GA,24,8,"[6, 0, 3, 1, 5, 7, 2, 4]",1,297,0.0010929680001936504
GA,25,8,"[5, 2, 0, 7, 3, 1, 6, 4]",0,101,0.00039820199981477344
GA,26,8,"[6, 1, 7, 5, 3, 0, 2, 4]",1,297,0.0010825580002347124
GA,27,8,"[2, 4, 1, 7, 5, 3, 6, 0]",0,101,0.00032350299989047926
GA,28,8,"[1, 3, 6, 2, 7, 5, 0, 4]",1,395,0.0017507649999970454
GA,29,8,"[2, 6, 3, 7, 1, 4, 0, 5]",1,297,0.0010269599997627665
HC,0,8,"[6, 3, 0, 4, 7, 5, 2, 1]",1,232,0.000642477000837971
