algorithm_name,n,found_solution,time,explored_nodes
BT,4,True,2.6359000003139954e-05,13
BT,4,True,5.540000529435929e-06,5
BT,4,True,1.3898999895900488e-05,13
BT,4,True,4.08000050811097e-06,5
BT,4,True,9.370000043418258e-06,9
BT,4,True,1.1750000339816324e-05,9
BT,4,True,8.478999916405883e-06,9
BT,4,True,9.559999853081536e-06,9
BT,4,True,8.469999556837138e-06,9
BT,4,True,1.1189000360900536e-05,9
BT,4,True,7.940000614325982e-06,9
BT,4,True,1.109000004362315e-05,9
BT,4,True,1.249999968422344e-05,13
BT,4,True,3.840000317723025e-06,5
BT,4,True,7.870000445109326e-06,9
BT,4,True,1.1649999578366987e-05,13
BT,4,True,8.629000149085186e-06,9
BT,4,True,5.280000550555997e-06,5
BT,4,True,5.380000402510632e-06,5
BT,4,True,3.860000106215011e-06,5
BT,4,True,7.640000148967374e-06,9
BT,4,True,9.360000149172265e-06,9
BT,4,True,3.879999894706998e-06,5
BT,4,True,6.159999429655727e-06,5
BT,4,True,4.030000127386302e-06,5
BT,4,True,1.1869000445585698e-05,13
BT,4,True,9.240000508725643e-06,9
BT,4,True,3.570000444597099e-06,5
BT,4,True,8.918999810703099e-06,9
BT,4,True,5.110000529384706e-06,5
FC,4,True,2.7660000341711566e-05,5
FC,4,True,3.0059999517106917e-05,9
FC,4,True,9.988999408960808e-06,5
FC,4,True,8.02000067778863e-06,5
FC,4,True,1.055999928212259e-05,5
FC,4,True,1.837899981183e-05,7
FC,4,True,1.0349999683967326e-05,5
FC,4,True,1.010999949357938e-05,5
FC,4,True,1.570899985381402e-05,7
FC,4,True,0.0001133679998019943,7
FC,4,True,1.6149999282788485e-05,7
FC,4,True,1.4109999938227702e-05,7
FC,4,True,7.928999366413336e-06,5
FC,4,True,1.3769000361207873e-05,7
FC,4,True,7.2800003181328066e-06,5
FC,4,True,6.849999408586882e-06,5
FC,4,True,1.246899955731351e-05,7
FC,4,True,6.960000064282212e-06,5
FC,4,True,1.2299999980314169e-05,7
FC,4,True,7.390000064333435e-06,5
FC,4,True,6.960000064282212e-06,5
FC,4,True,7.040000127744861e-06,5
FC,4,True,7.74000000092201e-06,5
FC,4,True,1.3710000530409161e-05,7
FC,4,True,1.92299994523637e-05,9
FC,4,True,8.550000529794488e-06,5
FC,4,True,1.3009000213060062e-05,7
FC,4,True,1.3500000022759195e-05,7
FC,4,True,1.3369999578571878e-05,7
FC,4,True,7.65899949328741e-06,5
BT,8,True,1.9439999960013665e-05,9
BT,8,True,3.180899966537254e-05,21
BT,8,True,0.00010563800060481299,67
BT,8,True,8.412799979851115e-05,50
BT,8,True,2.6139000510738697e-05,18
BT,8,True,2.4848999601090327e-05,17
BT,8,True,4.577900017466163e-05,29
BT,8,True,1.157000042439904e-05,9
BT,8,True,2.4928999664552975e-05,17
BT,8,True,3.0419999347941484e-05,21
BT,8,True,3.9709999327897094e-05,27
BT,8,True,2.1919000573689118e-05,16
BT,8,True,2.7608999516814947e-05,19
BT,8,True,1.7979999938688707e-05,12
BT,8,True,9.760800003277836e-05,62
BT,8,True,2.341900017199805e-05,17
BT,8,True,1.8179999642597977e-05,12
BT,8,True,1.7608999769436195e-05,13
BT,8,True,1.961999987543095e-05,14
BT,8,True,5.432899979496142e-05,35
BT,8,True,2.4659999326104298e-05,16
BT,8,True,1.8138999621442053e-05,12
BT,8,True,6.171899985929485e-05,38
